LogicBranch,IfBlock,error,0,0,0,0,0,0,0,13,0,8,7,1,0.03,4,52,2, , ,async result succeed, ,succeed result empti address send messag sent deliv messag local send sub,async result async result server ds send contextmessag send contextmessag metric,choosabl iterable< cluster node info>,server ds,cluster event bu,io vertx core eventbu impl cluster,error
LogicBranch,IfBlock,error,0,0,0,0,0,0,0,3,0,1,0,0,0.01,4,50,2, , ,add result fail, ,fail,add result, , ,cluster event bu,io vertx core eventbu impl cluster,warn
LogicBranch,IfBlock,error,0,0,0,0,0,0,0,3,0,1,0,0,0.01,4,53,2, , ,remov result fail, ,fail,remov result, , ,cluster event bu,io vertx core eventbu impl cluster,error
LogicBranch,IfBlock,error,0,0,0,0,0,0,0,14,0,6,3,0,0.03,4,55,2, , ,ar succeed, ,succeed result fail futur handl succeed futur handl,ar ar futur complet handler futur complet handler, , ,cluster event bu,io vertx core eventbu impl cluster,error
LogicBranch,IfBlock,debug,0,0,0,0,0,0,0,6,0,4,1,0,0.04,7,45,0, , ,re succeed, ,succeed close result connect,re re, , ,connect holder,io vertx core eventbu impl cluster,warn
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,1,0,0.02,7,52,0, , ,log debug enabl, ,debug,log, , ,connect holder,io vertx core eventbu impl cluster,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.02,7,45,0, , ,log debug enabl, ,debug enabl,log, , ,connect holder,io vertx core eventbu impl cluster,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,1,0,0.02,7,52,0, , ,log debug enabl, ,debug,log, , ,connect holder,io vertx core eventbu impl cluster,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.02,7,46,0, , ,log debug enabl, ,debug enabl,log, , ,connect holder,io vertx core eventbu impl cluster,debug
CriticalMethodCheck,MethodBlock,debug,0,0,0,1,0,0,0,5,1,3,2,0,0.03,7,45,0, , , , ,cluster ping repli interv close set timer,option vertx, , ,connect holder,io vertx core eventbu impl cluster,warn
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,1,0,0.02,7,52,0, , ,log debug enabl, ,debug,log, , ,connect holder,io vertx core eventbu impl cluster,debug
LogicBranch,IfBlock,debug,0,0,0,1,0,0,0,3,1,1,0,0,0.02,7,47,0, , ,log debug enabl, ,debug enabl,log, , ,connect holder,io vertx core eventbu impl cluster,debug
LogicBranch,IfBlock,error,0,0,0,0,0,0,0,6,0,1,1,0,0.01,1,32,2, , ,except handler null instanceof except, ,handl,except handler, , ,async file impl,io vertx core file impl,error
LogicBranch,IfBlock,error,0,0,0,0,0,0,0,5,0,3,3,0,0.01,1,35,2, , ,exc instanceof except, ,fail futur handl run context,futur handler context, , ,async file impl,io vertx core file impl,error
